,Name,Author,Image URL,Cooking Time
0,Fettuccine With Ricotta and a Fistful of Mint,Sam Sifton,https://static01.nyt.com/images/2019/02/17/dining/17norecipe-fettuccine/merlin_147764622_e8fdd236-fcf7-49d6-b21c-2468457e1c22-threeByTwoMediumAt2X.jpg,
1,Pasta With Sausage and Parm,Sam Sifton,https://static01.nyt.com/images/2019/02/17/dining/17norecipe-orecchiette/merlin_147768564_609465d0-01b5-44f7-b1be-61dca4756772-threeByTwoMediumAt2X.jpg,
2,New Mexican Hot Dish,Sam Sifton,https://static01.nyt.com/images/2019/02/17/dining/17NORECIPE-BEEF-ENCHILADAS/merlin_147762108_51b0b888-c346-4824-8c69-59bb56b7db62-threeByTwoMediumAt2X.jpg,
3,Speedy Fish Chowder,Sam Sifton,https://static01.nyt.com/images/2019/02/17/dining/17norecipe-speedyfish/merlin_147770463_47a2882a-a600-46da-8ae6-0f4cca7413fc-threeByTwoMediumAt2X.jpg,
4,Weeknight Fried Rice,Sam Sifton,https://static01.nyt.com/images/2019/02/17/dining/17NORECIPE-FRIED-RICE/merlin_147770727_1e7a6718-529c-42b7-91b8-57d7c43c4f6d-threeByTwoMediumAt2X.jpg,
5,Tofu With Peanut-Ginger Sauce,Martha Rose Shulman,https://static01.nyt.com/images/2012/07/31/science/31recipehealth/31recipehealth-superJumbo-v2.jpg,10 minutes
6,Tamagoyaki (Japanese Rolled Omelet),Kiera Wright-Ruiz,https://static01.nyt.com/images/2019/07/16/dining/kwr-tamagoyaki/kwr-tamagoyaki-threeByTwoMediumAt2X.jpg,15 minutes
7,Best Gazpacho,Julia Moskin,https://static01.nyt.com/images/2019/07/06/dining/jm-best-gazpacho/jm-best-gazpacho-threeByTwoMediumAt2X.jpg,20 minutes plus chilling time
8,"Cheddar, Cucumber and Marmalade Sandwiches",Melissa Clark,https://static01.nyt.com/images/2014/07/21/dining/cucumber-still/cucumber-still-superJumbo.jpg,5 minutes
9,General Tso’s Tofu Sub,Elaine Louie,https://static01.nyt.com/images/2014/05/13/dining/General-Tsos-Tofu-Sub/General-Tsos-Tofu-Sub-mediumThreeByTwo252-v3.jpg,1 hour and 15 minutes
10,Eli Zabar’s Egg Salad Sandwich,Elaine Louie,https://static01.nyt.com/images/2016/03/21/dining/21COOKING_EGGSALADSAN1/21COOKING_EGGSALADSAN1-superJumbo.jpg,30 minutes
11,Maangchi’s Cheese Buldak (Fire Chicken),Sam Sifton,https://static01.nyt.com/images/2019/07/28/dining/28mag-eat/28mag-eat-threeByTwoMediumAt2X.jpg,30 minutes
12,Classic Chicken Schnitzel With Smashed Cucumbers,Sarah Copeland,https://static01.nyt.com/images/2018/09/16/dining/sc-schnitzel/sc-schnitzel-threeByTwoMediumAt2X.jpg,30 minutes
13,Scarlett’s Tuna Salad,Tejal Rao,https://static01.nyt.com/images/2018/07/22/magazine/22mag-Eat-image1/22mag-Eat-image1-threeByTwoMediumAt2X.jpg,"15 minutes, plus 1 hour for pickling onions"
14,Seared Scallop Pasta With Burst Tomatoes and Herbs,Colu Henry,https://static01.nyt.com/images/2019/02/04/dining/ch-pasta-with-scallops-tomatoes-and-herbs/merlin_149536239_0aa05c95-efc8-4938-a0d4-77cea46458b6-threeByTwoMediumAt2X.jpg,30 minutes
15,Spumoni Ice Cream Cake,Ali Slagle,https://static01.nyt.com/images/2019/07/22/dining/as-spumoni-ice-cream-cake/merlin_158023122_3d451d2c-295a-4dfb-ab52-4e9bd158225f-threeByTwoMediumAt2X.jpg,"50 minutes, plus 6 hours’ freezing"
